response_datetime,problem,is_911_call,primary_offense,subject_injury,force_type,force_type_action,race,sex,age,type_resistance,precinct,neighborhood
2016/01/01 00:47:36,Assault in Progress ,Yes,DASLT1,,Bodily Force,Body Weight to Pin,Black,Male,20,Tensed,1,Downtown East
2016/01/01 02:19:34,Fight ,No,DISCON,,Chemical Irritant,Personal Mace,Black,Female,27,Verbal Non-Compliance,1,Downtown West
2016/01/01 02:19:34,Fight ,No,DISCON,,Chemical Irritant,Personal Mace,White,Female,23,Verbal Non-Compliance,1,Downtown West
2016/01/01 02:28:48,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20,Commission of Crime,1,Downtown West
2016/01/01 02:28:48,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20,Commission of Crime,1,Downtown West
2016/01/01 02:28:48,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20,Commission of Crime,1,Downtown West
2016/01/01 02:28:48,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Female,20,Commission of Crime,1,Downtown West
2016/01/01 02:28:48,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20,Commission of Crime,1,Downtown West
2016/01/01 02:28:48,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20,Unspecified,1,Downtown West
2016/01/01 02:38:23,Fight ,No,DISCON,No,Chemical Irritant,Crowd Control Mace,Black,Male,18,commission of crime,1,Downtown West
2016/01/01 02:38:23,Fight ,No,DISCON,No,Chemical Irritant,Chemical Munitions,Black,Male,18,commission of crime,1,Downtown West
2016/01/01 02:39:47,Suspicious Person ,No,DISCON,Yes,Bodily Force,Body Weight to Pin,Black,Male,21,Tensed,5,Lowry Hill East
2016/01/01 02:39:47,Suspicious Person ,No,DISCON,Yes,Bodily Force,Joint Lock,Black,Male,21,Tensed,5,Lowry Hill East
2016/01/01 02:39:47,Suspicious Person ,No,DISCON,Yes,Bodily Force,Body Weight to Pin,Black,Male,21,Tensed,5,Lowry Hill East
2016/01/01 03:11:20,Chase on Foot ,No,FLEE,No,Bodily Force,Body Weight to Pin,Black,Male,17,Fled in Vehicle,3,Ventura Village
2016/01/01 03:11:20,Chase on Foot ,No,FLEE,No,Bodily Force,Knees,Black,Male,17,Fled in Vehicle,3,Ventura Village
2016/01/01 03:22:39,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,18,Verbal Non-Compliance,1,Downtown West
2016/01/01 03:22:39,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,18,Verbal Non-Compliance,1,Downtown West
2016/01/01 15:22:04,Check the Welfare ,Yes,THREAT,,Bodily Force,Body Weight to Pin,Native American,Male,63,Commission of Crime,5,Lyndale
2016/01/01 17:47:46,Unwanted Person ,Yes,FORCE,No,Bodily Force,Knees,White,Male,26,Tensed,5,Whittier
2016/01/02 20:09:25,Suspicious Person ,No,OBSTRU,,Bodily Force,Joint Lock,Black,Male,43,Tensed,4,Folwell
2016/01/02 20:09:25,Suspicious Person ,No,OBSTRU,,Bodily Force,Push Away,Black,Male,43,Tensed,4,Folwell
2016/01/02 20:09:25,Suspicious Person ,No,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,43,Tensed,4,Folwell
2016/01/03 00:33:28,Stabbing ,No,ASLT2,No,Taser,Red Dot,Black,Male,27,Commission of Crime,1,Downtown West
2016/01/03 00:33:28,Stabbing ,No,ASLT2,No,Bodily Force,Body Weight to Pin,Black,Male,27,Commission of Crime,1,Downtown West
2016/01/03 01:43:45,Disturbance ,No,ASLT4,Yes,Bodily Force,Punches,White,Male,25,Assaulted Officer,1,Downtown West
2016/01/03 02:00:41,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Female,22,Commission of Crime,4,Hawthorne
2016/01/03 02:00:41,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,25,Commission of Crime,4,Hawthorne
2016/01/03 02:00:41,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,22,Commission of Crime,4,Hawthorne
2016/01/03 02:15:28,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,White,Male,22,Commission of Crime,2,Marcy Holmes
2016/01/03 02:22:18,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,18,Commission of Crime,1,Downtown West
2016/01/03 02:48:32,Suspicious Person ,No,OBSTRU,,Bodily Force,Push Away,White,Female,24,Commission of Crime,1,Downtown West
2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Improvised Weapon,Other (specify),Black,Male,22,Commission of Crime,4,Willard - Hay
2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,22,Commission of Crime,4,Willard - Hay
2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Joint Lock,Black,Male,22,Commission of Crime,4,Willard - Hay
2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,22,Commission of Crime,4,Willard - Hay
2016/01/04 00:44:33,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Improvised Weapon,Other (specify),Black,Male,22,Commission of Crime,4,Willard - Hay
2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Knees,Black,Male,22,Assaulted Officer,4,Willard - Hay
2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Taser,Firing Darts,Black,Male,22,Assaulted Officer,4,Willard - Hay
2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Conscious Neck Restraint,Black,Male,22,Assaulted Officer,4,Willard - Hay
2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Punches,Black,Male,22,Assaulted Officer,4,Willard - Hay
2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Punches,Black,Male,22,Assaulted Officer,4,Willard - Hay
2016/01/04 09:01:44,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Push Away,Black,Male,22,Assaulted Officer,4,Willard - Hay
2016/01/04 18:12:59,Unknown Trouble ,No,ASLT4,Yes,Bodily Force,Body Weight to Pin,White,Male,54,Assaulted Officer,2,Audubon Park
2016/01/04 18:12:59,Unknown Trouble ,No,ASLT4,Yes,Bodily Force,Push Away,White,Male,54,Assaulted Officer,2,Audubon Park
2016/01/05 07:55:02,Emotionally Disturb Person ,Yes,DASLT5,,Bodily Force,Body Weight to Pin,White,Male,14,Tensed,5,Fulton
2016/01/05 07:55:02,Emotionally Disturb Person ,Yes,DASLT5,,Bodily Force,Body Weight to Pin,White,Male,14,Tensed,5,Fulton
2016/01/05 07:55:02,Emotionally Disturb Person ,Yes,DASLT5,,Bodily Force,Joint Lock,White,Male,14,Tensed,5,Fulton
2016/01/05 07:55:02,Emotionally Disturb Person ,Yes,DASLT5,,Bodily Force,Joint Lock,White,Male,14,Tensed,5,Fulton
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Joint Lock,Black,Female,20,Tensed,4,Harrison
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Female,20,Tensed,4,Harrison
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Push Away,Black,Female,20,Tensed,4,Harrison
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Female,20,Tensed,4,Harrison
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Joint Lock,Black,Female,20,Tensed,4,Harrison
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Joint Lock,Black,Female,20,Tensed,4,Harrison
2016/01/05 18:34:15,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Push Away,Black,Female,20,Tensed,4,Harrison
2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,No,Bodily Force,Knees,Native American,Male,42,Tensed,3,Midtown Phillips
2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,No,Bodily Force,Punches,Native American,Male,42,Tensed,3,Midtown Phillips
2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,No,Bodily Force,Body Weight to Pin,Native American,Male,42,Tensed,3,Midtown Phillips
2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,No,Bodily Force,Knees,Native American,Male,42,Tensed,3,Midtown Phillips
2016/01/05 21:53:18,Assault in Progress ,No,DASLT5,No,Bodily Force,Punches,Native American,Male,42,Tensed,3,Midtown Phillips
2016/01/06 21:39:10,Motor Vehicle Chase ,No,FLEE,Yes,Bodily Force,Punches,Black,Male,27,Fled in Vehicle,3,Ventura Village
2016/01/06 21:39:10,Motor Vehicle Chase ,No,FLEE,Yes,Improvised Weapon,Flashlight,Black,Male,27,Fled in Vehicle,3,Ventura Village
2016/01/06 21:39:10,Motor Vehicle Chase ,No,FLEE,Yes,Bodily Force,Body Weight to Pin,Black,Male,27,Fled in Vehicle,3,Ventura Village
2016/01/07 00:02:08,Assault in Progress ,Yes,CIC,Yes,Bodily Force,Body Weight to Pin,White,Male,38,Tensed,2,Marcy Holmes
2016/01/07 00:02:08,Assault in Progress ,Yes,CIC,Yes,Bodily Force,Punches,White,Male,38,Tensed,2,Marcy Holmes
2016/01/07 00:02:08,Assault in Progress ,Yes,CIC,Yes,Bodily Force,Joint Lock,White,Male,38,Tensed,2,Marcy Holmes
2016/01/07 04:31:12,Unknown Wireless/Cell Phone,Yes,FC,,Bodily Force,Joint Lock,Black,Male,19,Tensed,3,Ventura Village
2016/01/07 04:31:12,Unknown Wireless/Cell Phone,Yes,FC,,Bodily Force,Body Weight to Pin,Black,Male,19,Tensed,3,Ventura Village
2016/01/07 04:31:12,Unknown Wireless/Cell Phone,Yes,FC,,Bodily Force,Body Weight to Pin,Black,Male,19,Tensed,3,Ventura Village
2016/01/07 21:22:30,Damage Property-In Progress,Yes,BURGTL,,Bodily Force,Body Weight to Pin,Black,Male,23,Fled on Foot,3,East Phillips
2016/01/07 21:22:30,Damage Property-In Progress,Yes,BURGTL,,Gun Point Display,Compliance,Black,Male,23,Fled on Foot,3,East Phillips
2016/01/08 09:26:08,Emotionally Disturb Person ,Yes,ASLT4,Yes,Bodily Force,Punches,Native American,Male,28,Assaulted Officer,4,Folwell
2016/01/08 09:26:08,Emotionally Disturb Person ,Yes,ASLT4,Yes,Taser,Touch,Native American,Male,28,Assaulted Officer,4,Folwell
2016/01/08 09:26:08,Emotionally Disturb Person ,Yes,ASLT4,Yes,Taser,Firing Darts,Native American,Male,28,Assaulted Officer,4,Folwell
2016/01/08 18:50:50,Poss Personal Injury Acc ,Yes,DAMPRP,,Bodily Force,Body Weight to Pin,Black,Male,26,Commission of Crime,5,Kenwood
2016/01/09 00:39:00,Person with a Gun ,Yes,DAMMV,,Chemical Irritant,Crowd Control Mace,Black,Male,24,Commission of Crime,1,Cedar Riverside
2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,Yes,Improvised Weapon,Flashlight,Black,Male,30,Commission of Crime,3,Ericsson
2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Punches,Black,Male,30,Commission of Crime,3,Ericsson
2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Body Weight to Pin,Black,Male,30,Commission of Crime,3,Ericsson
2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Knees,Black,Male,30,Commission of Crime,3,Ericsson
2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Joint Lock,Black,Male,30,Commission of Crime,3,Ericsson
2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,Yes,Bodily Force,Punches,Black,Male,30,Commission of Crime,3,Ericsson
2016/01/09 21:46:21,Disturbance ,No,OBSTRU,Yes,Bodily Force,Knees,Black,Male,15,Assaulted Officer,4,Willard - Hay
2016/01/09 21:46:21,Disturbance ,No,OBSTRU,Yes,Bodily Force,Punches,Black,Male,15,Assaulted Officer,4,Willard - Hay
2016/01/09 22:45:54,Officer Needs Help ,No,DISCON,,Bodily Force,Push Away,Black,Male,24,Verbal Non-Compliance,4,Cleveland
2016/01/09 22:45:54,Officer Needs Help ,No,DISCON,,Bodily Force,Body Weight to Pin,Black,Male,24,Verbal Non-Compliance,4,Cleveland
2016/01/10 01:33:38,Suspicious Person ,No,DISCON,No,Bodily Force,Knees,White,Male,39,Tensed,1,Downtown West
2016/01/10 01:33:38,Suspicious Person ,No,DISCON,No,Bodily Force,Joint Lock,White,Male,39,Tensed,1,Downtown West
2016/01/10 01:33:38,Suspicious Person ,No,DISCON,No,Bodily Force,Body Weight to Pin,White,Male,39,Tensed,1,Downtown West
2016/01/10 01:33:38,Suspicious Person ,No,DISCON,No,Bodily Force,Push Away,White,Male,39,Tensed,1,Downtown West
2016/01/10 02:25:13,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,NA,NA,0,Unspecified,0,
2016/01/10 04:02:02,Check the Welfare ,Yes,CIC,Yes,Taser,Firing Darts,Black,Male,20,Verbal Non-Compliance,2,Prospect Park - East River Road
2016/01/10 04:02:02,Check the Welfare ,Yes,CIC,Yes,Taser,Red Dot,Black,Male,20,Verbal Non-Compliance,2,Prospect Park - East River Road
2016/01/10 04:02:02,Check the Welfare ,Yes,CIC,Yes,Taser,Display,Black,Male,20,Verbal Non-Compliance,2,Prospect Park - East River Road
2016/01/11 19:02:01,Theft - Report Only ,No,SHOPLF,,Bodily Force,Joint Lock,Native American,Female,35,Tensed,1,Downtown West
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Body Weight to Pin,Black,Male,36,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Joint Lock,Black,Male,36,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Improvised Weapon,Flashlight,Black,Male,36,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Body Weight to Pin,Black,Male,36,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Gun Point Display,Compliance,Black,Male,36,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Body Weight to Pin,Black,Male,36,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Punches,Black,Male,36,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Punches,Black,Male,36,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Joint Lock,Black,Male,36,Verbal Non-Compliance,2,Como
2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,Yes,Bodily Force,Push Away,Black,Male,36,Verbal Non-Compliance,2,Como
