"","id","incident_year","incident_month","incident_day","operator_id","operator","aircraft","aircraft_type","aircraft_make","aircraft_model","aircraft_mass","engine_make","engine_model","engines","engine_type","engine1_position","engine2_position","engine3_position","engine4_position","airport_id","airport","state","faa_region","flight_phase","visibility","precipitation","height","speed","distance","species_id","species_name","species_quantity","flight_impact","damaged"
"1",20607,1991,8,10,"MDW","MIDWAY AIRLINES","DC-9-30","A","583",21,4,34,10,2,"D",5,5,NA,NA,"KMDW","CHICAGO MIDWAY INTL ARPT","IL","AGL","LANDING ROLL","DAY","NONE",0,80,0,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"2",12193,2010,4,28,"PVT","PRIVATELY OWNED","GRUMAMER AA5","A","418",2,1,7,10,1,"A",7,NA,NA,NA,"KUES","WAUKESHA COUNTY ARPT","WI","AGL","APPROACH","NIGHT","NONE",1500,110,10,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"3",19016,2012,4,11,"VIR","VIRGIN ATLANTIC","A-340","A","04A",5,4,10,1,4,"D",1,1,1,1,"KIAD","WASHINGTON DULLES INTL ARPT","DC","AEA","APPROACH","DAY","NONE",NA,160,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"4",22450,1998,7,16,"AAL","AMERICAN AIRLINES","MD-80","A","583",37,4,34,10,2,"D",5,5,NA,NA,"KTUS","TUCSON INTL","AZ","AWP","CLIMB","DAY","NONE",100,160,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"5",1349,2013,3,15,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KGRR","GERALD R. FORD INTL ARPT","MI","AGL",NA,NA,NA,NA,NA,0,"YH004","HORNED LARK","1",NA,0
"6",25824,2014,9,22,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,1,2,"D",1,1,NA,NA,"KBHM","BIRMINGHAM-SHUTTLESWORTH INTL","AL","ASO","APPROACH","DAY","NONE",50,133,0,"O2205","MOURNING DOVE","2-10","NONE",0
"7",24280,2007,8,20,"TRS","AIRTRAN AIRWAYS","B-717-200","A","148",45,4,9,6,2,"D",5,5,NA,NA,"KMLI","QUAD CITY ARPT","IL","AGL","TAKEOFF RUN","DAY","NONE",0,NA,0,"O2111","ROCK PIGEON","2-10","NONE",0
"8",9360,2005,4,6,"UPS","UPS AIRLINES","B-757-200","A","148",26,4,34,40,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"9",29368,2014,10,5,"AWE","US AIRWAYS","A-321","A","04A",7,4,23,1,2,"D",1,1,NA,NA,"MMUN","CANCUN INTL",NA,"FGN","CLIMB","DAY",NA,NA,NA,NA,"ZS004","BLACK-AND-WHITE WARBLER","1","NONE",0
"10",16502,1994,12,16,"AMW","AIR MIDWEST","BE-1900","A","123",27,3,31,4,2,"C",4,4,NA,NA,"KMCI","KANSAS CITY INTL","MO","ACE","APPROACH","DAY","FOG",3000,170,NA,"K33","HAWK","2-10","NONE",1
"11",28545,1993,8,28,"RAX","ROYAL AIR FREIGHT","LEARJET-25","A","395",3,3,22,10,2,"B",5,5,NA,NA,"KMCI","KANSAS CITY INTL","MO","ACE","LANDING ROLL","NIGHT",NA,0,NA,0,"1F11","COYOTE","1",NA,1
"12",27456,1998,10,19,"BLR","ATLANTIC COAST AIRLINES","BA-31 JETSTR","A","168",3,2,19,4,2,"C",4,4,NA,NA,"KBGM","GREATER BINGHAMTON ARPT/EDWIN A LINK FIELD","NY","AEA","CLIMB","DAY","NONE",15,120,NA,"NE1","GULL","1","PRECAUTIONARY LANDING",1
"13",23370,2009,4,15,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KTUS","TUCSON INTL","AZ","AWP",NA,NA,NA,NA,NA,0,"YH004","HORNED LARK","1",NA,0
"14",24097,2006,8,28,"MIL","MILITARY","TC-135W","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLNK","LINCOLN ARPT","NE","ACE","APPROACH","DAY",NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD",NA,NA,0
"15",23726,2012,8,13,"PHM","PHI INC","SIKORSKY S-76","B","813",14,2,43,1,2,"F",6,NA,NA,NA,"ZZZZ","UNKNOWN",NA,NA,"EN ROUTE","NIGHT","NONE",NA,NA,NA,"UNKBS","UNKNOWN SMALL BIRD","1",NA,0
"16",9147,2013,1,23,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,1,2,"D",1,1,NA,NA,"KSAN","SAN DIEGO INTL","CA","AWP","CLIMB","DUSK","NONE",200,150,0,"NE1","GULL","1","NONE",0
