"id","class","height","color","rottingFleshPct","bloodCoverage","aura","hairLength"
1,"Zombie",61.6247957731706,"green",24.37,25.009,0.153879644305808,3.33137188463152
2,"Ghost",51.4086002348705,"white",3.52,7.211,0.210932810874014,3.3140287161181
3,"Witch",61.4191379696208,"purple",22.78,19.478,0.174244581380811,3.48150001234583
4,"Zombie",52.9706810317956,"green",29.82,23.499,0.169031086347341,3.33508266820056
5,"Witch",57.270175970458,"purple",27.25,13.082,0.215113906179691,3.04155111629783
6,"Witch",59.4045338764405,"purple",14.06,3.49,0.182262708514649,3.38925294018204
7,"Zombie",64.059270507728,"purple",26.24,42.853,0.239149820073205,3.40126816307111
8,"Zombie",61.5645774078518,"purple",29.25,36.838,0.209689846574754,2.96025905002518
9,"Zombie",61.2881818289009,"grey",31.32,34.971,0.0750716625180828,3.29842582336002
10,"Witch",62.7816102531961,"green",32.24,6.039,0.214800527534622,3.39517616608573
11,"Vampire",69.2926865636033,"purple",11.92,20.026,0.216549837672094,3.96479147791592
12,"Witch",61.9071266594066,"green",20.35,1.065,0.229804663356161,3.459611682331
13,"Mummy",77.1624699268617,"white",19.07,24.106,0.320335935112145,3.82370954674268
14,"Zombie",42.1744857133955,"purple",21.9,22.553,0.183969485699475,2.89338523756123
15,"Zombie",63.1736289072156,"green",44.16,26.843,0.148037590001041,3.60968155428268
16,"Zombie",62.4746337742197,"green",30.05,21.825,0.0872355382600568,4.33458877244064
17,"Mummy",60.9448958008361,"white",9.24,15.538,0.30167085622988,3.43058357336487
18,"Zombie",57.2669346893329,"green",35.78,31.598,0.156909247647289,3.87152462306328
19,"Zombie",59.4208905047515,"purple",23.29,36.316,0.178528127095444,3.13067050162357
20,"Zombie",62.3919541538343,"grey",32.31,22.369,0.106650808343335,3.31077304502841
21,"Vampire",61.5176797946436,"white",13.23,11.056,0.291895388789728,3.4669548041859
22,"Zombie",63.0952672129397,"green",37.28,35.632,0.181632573874268,3.51934758067598
23,"Witch",66.2764159297889,"green",21.09,3.113,0.195078035431946,3.55991286381663
24,"Witch",68.0167918434202,"green",22.62,10.981,0.170655439251337,4.44027777331768
25,"Witch",58.8866090317752,"green",15.91,3.255,0.175886629064674,3.77599058474741
26,"Zombie",51.2431777097673,"green",23.13,36.806,0.12674755927815,3.40663682197393
27,"Vampire",74.6329283107077,"grey",14.28,13.003,0.100386420532277,3.53915404930515
28,"Zombie",63.9115062985765,"grey",25.5,34.081,0.0805035627574765,3.49973352548891
