"id","class"
1,"Zombie"
2,"Zombie"
3,"Zombie"
4,"Zombie"
5,"Zombie"
6,"Zombie"
7,"Zombie"
8,"Zombie"
9,"Zombie"
10,"Zombie"
11,"Zombie"
12,"Zombie"
13,"Zombie"
14,"Zombie"
15,"Zombie"
16,"Zombie"
17,"Zombie"
18,"Zombie"
19,"Zombie"
20,"Zombie"
21,"Zombie"
22,"Zombie"
23,"Zombie"
24,"Zombie"
25,"Zombie"
26,"Zombie"
27,"Zombie"
28,"Zombie"
29,"Zombie"
30,"Zombie"
31,"Zombie"
32,"Zombie"
33,"Zombie"
34,"Zombie"
35,"Zombie"
36,"Zombie"
37,"Zombie"
38,"Zombie"
39,"Zombie"
40,"Zombie"
41,"Zombie"
42,"Zombie"
43,"Zombie"
44,"Zombie"
45,"Zombie"
46,"Zombie"
47,"Zombie"
48,"Zombie"
49,"Zombie"
50,"Zombie"
51,"Zombie"
52,"Zombie"
53,"Zombie"
54,"Zombie"
55,"Zombie"
56,"Zombie"
57,"Zombie"
58,"Zombie"
59,"Zombie"
60,"Zombie"
61,"Zombie"
62,"Zombie"
63,"Zombie"
64,"Zombie"
65,"Zombie"
66,"Zombie"
67,"Zombie"
68,"Zombie"
69,"Zombie"
70,"Zombie"
71,"Zombie"
72,"Zombie"
73,"Zombie"
74,"Zombie"
75,"Zombie"
76,"Zombie"
77,"Zombie"
78,"Zombie"
79,"Zombie"
80,"Zombie"
81,"Zombie"
82,"Zombie"
83,"Zombie"
84,"Zombie"
85,"Zombie"
86,"Zombie"
87,"Zombie"
88,"Zombie"
89,"Zombie"
90,"Zombie"
91,"Zombie"
92,"Zombie"
93,"Zombie"
94,"Zombie"
95,"Zombie"
96,"Zombie"
97,"Zombie"
98,"Zombie"
99,"Zombie"
100,"Zombie"
101,"Zombie"
102,"Zombie"
103,"Zombie"
104,"Zombie"
105,"Zombie"
106,"Zombie"
107,"Zombie"
108,"Zombie"
109,"Zombie"
110,"Zombie"
111,"Zombie"
112,"Zombie"
113,"Zombie"
114,"Zombie"
115,"Zombie"
116,"Zombie"
117,"Zombie"
118,"Zombie"
119,"Zombie"
120,"Zombie"
121,"Zombie"
122,"Zombie"
123,"Zombie"
124,"Zombie"
125,"Zombie"
126,"Zombie"
127,"Zombie"
128,"Zombie"
129,"Zombie"
130,"Zombie"
131,"Zombie"
132,"Zombie"
133,"Zombie"
134,"Zombie"
135,"Zombie"
136,"Zombie"
137,"Zombie"
138,"Zombie"
139,"Zombie"
140,"Zombie"
141,"Zombie"
142,"Zombie"
143,"Zombie"
144,"Zombie"
145,"Zombie"
146,"Zombie"
147,"Zombie"
148,"Zombie"
149,"Zombie"
150,"Zombie"
151,"Zombie"
152,"Zombie"
153,"Zombie"
154,"Zombie"
155,"Zombie"
156,"Zombie"
157,"Zombie"
158,"Zombie"
159,"Zombie"
160,"Zombie"
161,"Zombie"
162,"Zombie"
163,"Zombie"
164,"Zombie"
165,"Zombie"
166,"Zombie"
167,"Zombie"
168,"Zombie"
169,"Zombie"
170,"Zombie"
171,"Zombie"
172,"Zombie"
173,"Zombie"
174,"Zombie"
175,"Zombie"
176,"Zombie"
177,"Zombie"
178,"Zombie"
179,"Zombie"
180,"Zombie"
181,"Zombie"
182,"Zombie"
183,"Zombie"
184,"Zombie"
185,"Zombie"
186,"Zombie"
187,"Zombie"
188,"Zombie"
189,"Zombie"
190,"Zombie"
191,"Zombie"
192,"Zombie"
193,"Zombie"
194,"Zombie"
195,"Zombie"
196,"Zombie"
197,"Zombie"
198,"Zombie"
199,"Zombie"
200,"Zombie"
201,"Zombie"
202,"Zombie"
203,"Zombie"
204,"Zombie"
205,"Zombie"
206,"Zombie"
207,"Zombie"
208,"Zombie"
209,"Zombie"
210,"Zombie"
211,"Zombie"
212,"Zombie"
213,"Zombie"
214,"Zombie"
215,"Zombie"
216,"Zombie"
217,"Zombie"
218,"Zombie"
219,"Zombie"
220,"Zombie"
221,"Zombie"
222,"Zombie"
223,"Zombie"
224,"Zombie"
225,"Zombie"
226,"Zombie"
227,"Zombie"
228,"Zombie"
229,"Zombie"
230,"Zombie"
231,"Zombie"
232,"Zombie"
233,"Zombie"
234,"Zombie"
235,"Zombie"
236,"Zombie"
237,"Zombie"
238,"Zombie"
239,"Zombie"
240,"Zombie"
