"ID","primary_color","secondary_color","height","wingspan","weight","hobby","dsb"
1,"grey","blue",27.8409099570619,39.7629643084514,18.9020664216936,"art",3
2,"brown","grey",25.3537970652025,46.8333732441676,20.8138365180522,"trivia",1
3,"brown","grey",27.6009064989671,43.0266433781036,18.8597333500138,"comedy",1
4,"black","blue",23.0764978796236,30.5719566146373,15.0485864786994,"art",2
5,"black","blue",28.0399099254942,31.0661766126493,12.6014592030693,"yoga",0
6,"brown","blue",27.2778072972795,18.4673459911067,13.1812403733832,"cooking",0
7,"grey","blue",24.9291102215636,27.4939996274413,12.8450766808841,"cooking",0
8,"black","blue",29.5273028967395,30.1818761825324,16.7813766404141,"cooking",0
9,"black","blue",27.2294236604035,34.7544149517343,15.9627630127876,"karaoke",3
10,"black","blue",29.2975280530451,27.5633498668506,14.4587577008653,"cooking",2
11,"brown","grey",30.7027289693521,30.9822360145612,15.6721494663868,"debate",2
12,"black","blue",28.9959641527461,34.6683565032591,15.0996736903329,"debate",1
13,"black","blue",26.6973958443463,33.3617897308049,17.7858521832775,"cooking",1
14,"grey","blue",33.439486614249,27.8690196164782,19.5282847778525,"cooking",2
15,"black","blue",31.5536652515411,29.4757881933855,12.0347756262835,"debate",5
16,"grey","blue",28.7335562286557,36.0449118371287,15.6586504745504,"yoga",3
17,"grey","blue",26.5322968632996,37.661235243955,15.1750288420015,"comedy",3
18,"grey","blue",28.5838910223462,38.0579480146086,22.5297900549485,"trivia",0
19,"black","blue",24.1504301152606,26.6841237988176,13.9191846305841,"yoga",1
20,"grey","grey",28.3457087392748,47.8746341426457,15.6855957517967,"comedy",3
21,"black","grey",25.8909487285788,32.3475280032053,15.5552242558938,"cooking",2
22,"grey","blue",25.7675689390939,32.259218277582,9.6483577641953,"trivia",2
23,"grey","blue",26.6883959933725,27.9574940082376,18.3351914291661,"cooking",4
24,"black","blue",29.7229874982256,38.3554721561047,21.1608684255816,"yoga",2
25,"black","blue",30.2141707020464,43.3610783727591,15.8019049185498,"trivia",8
26,"brown","blue",28.1772059259715,27.6738520132894,16.019806451578,"debate",2
27,"black","blue",30.2475975922932,45.3996184172313,17.0945397355375,"comedy",6
28,"black","blue",25.1012066396125,32.0500205606282,19.9296194495742,"karaoke",3
29,"black","blue",21.8472322716583,25.9003845235036,15.4274294767685,"cooking",3
30,"brown","blue",29.6561255063301,33.5614491638515,11.0750148978389,"debate",6
31,"grey","blue",25.8519688820021,40.3858499167384,15.6676434498735,"cooking",2
32,"grey","blue",23.662928152461,32.5875383090557,12.5094151946313,"yoga",3
33,"grey","blue",31.9323063136825,38.9249718071512,13.5919449985253,"cooking",1
34,"black","blue",27.3489564195165,45.295824716921,23.8755382238475,"comedy",5
35,"black","blue",24.8029627753802,39.5703834445948,14.4713613897397,"comedy",5
36,"black","blue",24.8417309457927,30.9153973023504,12.6098176570531,"yoga",3
37,"grey","blue",27.7670973721726,36.8551421846328,18.0598194788369,"debate",0
38,"black","blue",29.7939228679694,21.8816569657072,12.113407779583,"cooking",2
39,"brown","grey",29.5811116437379,34.189528186645,16.8930786131442,"cooking",1
40,"grey","blue",25.3291068163736,33.0399534387168,17.8563026604747,"yoga",2
41,"black","blue",33.3948316057833,37.7453740870021,17.5231363393572,"comedy",2
42,"black","blue",30.8433129941039,43.9820270964403,15.3651001310681,"comedy",1
43,"black","blue",23.7023869975801,48.426363089121,18.6359511383832,"karaoke",3
44,"black","blue",29.7646113363323,36.2427382864509,20.4122703561507,"art",3
45,"black","blue",22.5730278413253,26.0743745779512,15.8104305798746,"debate",1
46,"grey","blue",25.2343505707911,26.1747001679618,10.8981902518273,"karaoke",2
47,"black","blue",26.0159794984926,41.1489062872191,18.7643496409017,"karaoke",0
48,"black","grey",29.3378278463483,32.6032038582596,15.8230606167695,"yoga",2
49,"grey","blue",29.1142942130865,34.907415738452,10.3307215818107,"cooking",0
50,"black","blue",24.6901287841393,36.0242837480209,10.3739661991495,"cooking",7
51,"black","blue",21.0239512293253,39.8906001952297,18.4479385427476,"trivia",1
52,"black","blue",27.2253008771989,50.6824583638738,18.4145115464249,"karaoke",2
53,"black","grey",27.9901180128021,42.0845572692821,18.7288522026281,"cooking",4
54,"grey","grey",25.318252558613,30.8559443520944,9.92178455133317,"trivia",4
55,"black","blue",23.5531144073043,40.3263188004134,17.1340806325162,"yoga",10
56,"black","grey",28.6446206582906,32.2471430172858,12.2903521326374,"debate",9
57,"grey","grey",27.9276728458881,32.3908741640766,14.3598252461982,"art",3
58,"grey","blue",30.8659267564842,36.0702064080615,16.8456666833084,"cooking",2
59,"black","blue",27.303517627496,27.4446226381334,9.36877114880633,"art",0
60,"black","grey",23.8184833262002,30.4186977361042,17.9815148041675,"cooking",5
61,"black","grey",29.8713443016972,25.9176634354521,13.0221953983317,"art",4
62,"black","blue",30.6222089215674,31.4571324815161,14.9067906333996,"yoga",2
63,"black","blue",32.7827940170371,40.5588613668015,16.7241615673394,"art",2
64,"black","blue",28.318149252887,27.9910405430598,10.9630731811037,"art",2
65,"brown","blue",27.0431874120867,27.134107397868,19.9511791913135,"karaoke",2
66,"grey","grey",31.0063346594606,41.0303236903651,18.9915219829339,"karaoke",1
67,"black","blue",34.6287321395299,46.313579780784,23.0905781007683,"cooking",1
68,"black","grey",29.9400804944165,29.6067915882689,6.47693547337947,"cooking",2
69,"black","blue",25.4375512563309,32.7041490046013,18.4284933414415,"karaoke",1
70,"grey","grey",25.7656548741693,39.5292343517058,11.8748964439917,"art",3
71,"grey","blue",32.8040111401167,23.5744933806723,16.7814955155117,"cooking",0
72,"grey","blue",27.6420184470995,14.6897694499299,8.43729881809771,"karaoke",2
73,"black","grey",29.6915066600305,36.8710471173684,10.7932967114565,"debate",2
74,"grey","grey",26.7816249091648,31.3582447954938,20.2583096526388,"cooking",1
75,"black","blue",28.3477171312706,46.0445432198588,21.9230518802123,"cooking",4
76,"black","blue",20.2022455888919,34.1714647914877,11.0182820325579,"yoga",3
77,"black","blue",32.7278026616202,35.0225106525319,18.2905799868631,"comedy",3
78,"black","blue",31.3259491005865,26.513140780389,12.6607882952062,"yoga",6
79,"brown","blue",27.5379260337545,26.2479757152971,17.7681819387832,"karaoke",1
80,"grey","grey",31.9759398434363,35.7552948757755,18.2890751195978,"karaoke",3
81,"black","grey",25.5589803858249,32.0041751638159,11.9138640458472,"art",1
82,"black","blue",32.34369161682,28.2640563597089,13.655505372277,"karaoke",3
83,"black","blue",30.7322280478572,43.1152930473507,17.6027926989362,"trivia",9
84,"grey","blue",21.967658711556,32.7372877809969,17.5615217474267,"comedy",2
85,"black","blue",26.6933274620744,36.4809083276472,12.5203013254647,"cooking",1
86,"black","grey",30.3064791669211,32.6453044248402,16.7481271117833,"cooking",4
87,"grey","blue",25.752548514307,38.6204560375007,22.7584196126004,"cooking",2
88,"grey","blue",31.2002515801234,22.3726734572133,12.7237741146425,"cooking",1
89,"grey","blue",25.7341635120899,28.4115777955505,10.9564465192852,"debate",5
90,"black","blue",29.0299701288735,37.6722937669084,17.417026192966,"debate",1
91,"grey","blue",25.9451398367621,22.4743059495221,15.381612363412,"cooking",1
92,"grey","blue",25.1578149837231,42.0715125645747,19.1959954164412,"comedy",1
93,"grey","blue",33.0803490621691,33.630016911672,19.4051040972265,"debate",0
94,"black","grey",18.4224463657454,41.6555103044385,19.5669937560172,"debate",2
95,"grey","blue",32.4489897974518,36.763665555433,17.7868217449244,"art",0
96,"grey","blue",30.9325334167863,23.295691315938,9.90764606942474,"art",1
97,"grey","grey",27.3318734455359,37.6320691810217,14.6107441146555,"comedy",2
98,"black","blue",33.6552573550386,38.6464041549707,17.2220111922384,"cooking",1
99,"black","grey",27.7879696495662,32.566088353445,14.8144150854144,"cooking",1
100,"black","blue",30.783708302432,42.44758966353,22.1906245119233,"art",1
101,"black","blue",28.23572100231,29.096340762832,14.4730292765092,"karaoke",4
102,"black","blue",26.7016473336762,35.7241276249631,11.1438650825445,"art",2
103,"black","blue",26.1388699718358,23.000629202799,14.3232313994085,"cooking",1
104,"brown","blue",26.7880571505515,49.1524061090551,27.0351640395991,"karaoke",1
105,"grey","blue",30.0719664146531,27.5827757081127,13.8439248307363,"cooking",1
106,"grey","blue",34.5669476267336,28.5703928737448,17.9484528005458,"yoga",1
107,"brown","blue",32.9102715292388,28.1091468392692,18.1778267390065,"art",3
108,"black","blue",29.2310087198526,25.9515731764355,15.9423088164003,"cooking",4
109,"black","grey",26.3482474633305,42.768538964214,19.5894633334948,"art",3
110,"black","blue",27.1071829662762,39.9405873523016,18.26880212672,"cooking",6
111,"black","blue",33.9615986064331,36.630484809397,16.4334231598185,"cooking",6
112,"black","blue",26.0071456734458,42.5037319167128,15.6476199439225,"trivia",12
113,"grey","blue",25.5430793105038,39.2325479517996,19.1131525261854,"comedy",1
114,"black","blue",20.9168361233338,38.0707663328001,13.9826136019689,"art",1
115,"brown","blue",30.902504440289,47.784599598049,18.3838745794489,"karaoke",1
